Date and Time:                Fri Oct 17 06:40:23.248 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	281
478.84332	301
479.35983	331
479.87631	322
480.39282	322
480.9093	356
481.42575	335
481.94223	329
482.45868	334
482.97513	353
483.49158	337
484.00803	338
484.52444	333
485.04086	318
485.55728	351
486.07367	318
486.59006	325
487.10645	316
487.62283	343
488.13919	338
488.65555	335
489.17191	321
489.68826	307
490.20459	322
490.72092	342
491.23724	342
491.75354	334
492.26984	344
492.78613	333
493.30243	335
493.8187	326
494.33496	354
494.85123	358
495.36746	354
495.8837	345
496.39993	370
496.91617	346
497.43237	356
497.94858	372
498.46478	359
498.98096	366
499.49713	349
500.01331	358
500.52945	358
501.04562	356
501.56174	370
502.07788	356
502.59399	397
503.11011	358
503.62622	358
504.1423	365
504.65839	327
505.17447	370
505.69052	349
506.20657	350
506.72263	334
507.23865	367
507.75467	352
508.27069	357
508.78668	359
509.30267	334
509.81866	346
510.33463	343
510.85059	357
511.36655	356
511.88248	353
512.39844	338
512.91437	364
513.43024	344
513.94617	339
514.46204	342
514.97791	349
515.49377	364
516.00964	323
516.52551	339
517.04132	361
517.55719	344
518.073	345
518.58881	356
519.10461	355
519.62036	370
520.13617	342
520.65192	341
521.16766	339
521.68341	363
522.1991	320
522.71484	338
523.23053	342
523.74622	336
524.2619	339
524.77759	344
525.29327	349
525.8089	351
526.32452	358
526.84015	358
527.35577	331
527.8714	346
528.38696	366
528.90259	362
529.41815	332
529.93372	328
530.44922	335
530.96478	339
531.48029	349
531.99579	343
532.51129	334
533.02679	323
533.5423	336
534.05774	348
534.57318	342
535.08862	362
535.60406	328
536.11945	358
536.63489	342
537.15027	336
537.66565	335
538.18097	329
538.69635	354
539.21167	335
539.72699	321
540.24231	369
540.75763	345
541.27289	355
541.78821	333
542.30347	351
542.81873	348
543.33392	345
543.84918	344
544.36438	360
544.87958	311
545.39478	343
545.90991	320
546.42511	361
546.94025	298
547.45538	333
547.97052	365
548.4856	342
549.00073	358
549.51581	334
550.03088	330
550.5459	320
551.06097	349
551.57599	324
552.091	337
552.60602	332
553.12097	324
553.63593	329
554.15094	346
554.66583	348
555.18079	351
555.69568	350
556.21063	341
556.72552	336
557.24036	349
557.75525	321
558.27008	350
558.78491	333
559.29974	353
559.81458	347
560.32935	336
560.84412	348
561.35889	332
561.87366	349
562.38837	352
562.90308	343
563.41779	321
563.9325	298
564.44714	347
564.96179	339
565.47644	360
565.99109	333
566.50574	349
567.02032	340
567.53491	317
568.0495	341
568.56403	347
569.07861	339
569.59314	368
570.1076	322
570.62213	319
571.1366	336
571.65106	344
572.16553	322
572.67999	306
573.1944	337
573.7088	310
574.22321	318
574.73755	346
575.25195	342
575.7663	338
576.28058	335
576.79492	340
577.3092	341
577.82349	335
578.33777	317
578.85205	333
579.36627	309
579.88049	333
580.39471	320
580.90887	302
581.42303	328
581.93719	331
582.45135	339
582.96545	320
583.47955	323
583.99365	343
584.50775	323
585.02179	333
585.53583	348
586.04987	342
586.5639	324
587.07788	331
587.59186	328
588.10583	333
588.61975	324
589.13373	348
589.64758	340
590.1615	317
590.67542	342
591.18927	323
591.70306	334
592.21692	331
592.73071	326
593.24451	315
593.7583	320
594.27209	327
594.78583	309
595.29956	316
595.81323	324
596.32697	339
596.84064	336
597.35425	315
597.86792	333
598.38153	324
598.89514	318
599.40875	315
599.9223	326
600.43585	322
600.9494	312
601.46289	325
601.97638	345
602.48987	331
603.00336	345
603.51678	346
604.03021	327
604.54364	309
605.05701	321
605.57043	323
606.08374	324
606.59711	317
607.11041	332
