Date and Time:                Fri Oct 17 08:24:22.266 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	272
478.84332	300
479.35983	318
479.87631	341
480.39282	306
480.9093	334
481.42575	322
481.94223	321
482.45868	324
482.97513	352
483.49158	318
484.00803	345
484.52444	416
485.04086	477
485.55728	505
486.07367	534
486.59006	584
487.10645	604
487.62283	696
488.13919	670
488.65555	740
489.17191	800
489.68826	843
490.20459	893
490.72092	906
491.23724	959
491.75354	1022
492.26984	1083
492.78613	1104
493.30243	1226
493.8187	1211
494.33496	1274
494.85123	1312
495.36746	1398
495.8837	1481
496.39993	1536
496.91617	1604
497.43237	1705
497.94858	1805
498.46478	1832
498.98096	1954
499.49713	2020
500.01331	2188
500.52945	2354
501.04562	2451
501.56174	2634
502.07788	2868
502.59399	3149
503.11011	3373
503.62622	3682
504.1423	4042
504.65839	4343
505.17447	4950
505.69052	5377
506.20657	6078
506.72263	6842
507.23865	7595
507.75467	8365
508.27069	9332
508.78668	10273
509.30267	11191
509.81866	12254
510.33463	13415
510.85059	14402
511.36655	15710
511.88248	16260
512.39844	17147
512.91437	17522
513.43024	18053
513.94617	18853
514.46204	18991
514.97791	19516
515.49377	19942
516.00964	20061
516.52551	19662
517.04132	20003
517.55719	19578
518.073	19077
518.58881	18843
519.10461	18477
519.62036	17973
520.13617	17327
520.65192	17076
521.16766	15964
521.68341	15704
522.1991	14845
522.71484	14055
523.23053	13152
523.74622	12027
524.2619	11066
524.77759	10036
525.29327	9118
525.8089	8083
526.32452	7149
526.84015	6454
527.35577	5612
527.8714	4996
528.38696	4546
528.90259	3989
529.41815	3562
529.93372	3183
530.44922	2962
530.96478	2655
531.48029	2478
531.99579	2434
532.51129	2321
533.02679	2328
533.5423	2356
534.05774	2240
534.57318	2168
535.08862	2118
535.60406	2167
536.11945	2059
536.63489	2026
537.15027	2044
537.66565	1977
538.18097	2018
538.69635	2084
539.21167	1890
539.72699	1897
540.24231	1804
540.75763	1913
541.27289	1837
541.78821	1816
542.30347	1720
542.81873	1677
543.33392	1636
543.84918	1637
544.36438	1526
544.87958	1503
545.39478	1468
545.90991	1498
546.42511	1470
546.94025	1435
547.45538	1447
547.97052	1392
548.4856	1339
549.00073	1389
549.51581	1443
550.03088	1351
550.5459	1292
551.06097	1320
551.57599	1225
552.091	1308
552.60602	1302
553.12097	1256
553.63593	1234
554.15094	1210
554.66583	1315
555.18079	1301
555.69568	1173
556.21063	1263
556.72552	1190
557.24036	1287
557.75525	1173
558.27008	1174
558.78491	1165
559.29974	1185
559.81458	1152
560.32935	1145
560.84412	1171
561.35889	1099
561.87366	1117
562.38837	1130
562.90308	1069
563.41779	1019
563.9325	1135
564.44714	1084
564.96179	1031
565.47644	1121
565.99109	1040
566.50574	1023
567.02032	1063
567.53491	1034
568.0495	1085
568.56403	1088
569.07861	1094
569.59314	1022
570.1076	1042
570.62213	1016
571.1366	1014
571.65106	980
572.16553	1019
572.67999	968
573.1944	944
573.7088	965
574.22321	999
574.73755	937
575.25195	972
575.7663	965
576.28058	946
576.79492	867
577.3092	945
577.82349	980
578.33777	845
578.85205	879
579.36627	916
579.88049	943
580.39471	828
580.90887	890
581.42303	837
581.93719	812
582.45135	840
582.96545	843
583.47955	852
583.99365	885
584.50775	844
585.02179	823
585.53583	828
586.04987	809
586.5639	810
587.07788	777
587.59186	815
588.10583	845
588.61975	813
589.13373	813
589.64758	804
590.1615	766
590.67542	795
591.18927	762
591.70306	767
592.21692	756
592.73071	726
593.24451	759
593.7583	770
594.27209	761
594.78583	792
595.29956	738
595.81323	729
