Date and Time:                Fri Oct 17 08:52:24.407 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	356
478.84332	363
479.35983	368
479.87631	3627
480.39282	17616
480.9093	10063
481.42575	523
481.94223	382
482.45868	376
482.97513	375
483.49158	375
484.00803	368
484.52444	421
485.04086	394
485.55728	406
486.07367	418
486.59006	439
487.10645	444
487.62283	466
488.13919	473
488.65555	458
489.17191	458
489.68826	462
490.20459	507
490.72092	491
491.23724	517
491.75354	509
492.26984	551
492.78613	538
493.30243	557
493.8187	609
494.33496	556
494.85123	580
495.36746	550
495.8837	592
496.39993	595
496.91617	651
497.43237	584
497.94858	654
498.46478	616
498.98096	616
499.49713	627
500.01331	641
500.52945	647
501.04562	651
501.56174	625
502.07788	674
502.59399	624
503.11011	614
503.62622	631
504.1423	640
504.65839	640
505.17447	678
505.69052	657
506.20657	668
506.72263	628
507.23865	670
507.75467	699
508.27069	626
508.78668	675
509.30267	652
509.81866	651
510.33463	643
510.85059	653
511.36655	641
511.88248	643
512.39844	634
512.91437	627
513.43024	670
513.94617	605
514.46204	625
514.97791	641
515.49377	600
516.00964	575
516.52551	609
517.04132	577
517.55719	578
518.073	581
518.58881	559
519.10461	600
519.62036	618
520.13617	622
520.65192	595
521.16766	589
521.68341	620
522.1991	627
522.71484	615
523.23053	610
523.74622	588
524.2619	591
524.77759	609
525.29327	607
525.8089	611
526.32452	585
526.84015	593
527.35577	552
527.8714	606
528.38696	582
528.90259	565
529.41815	562
529.93372	596
530.44922	545
530.96478	555
531.48029	537
531.99579	582
532.51129	588
533.02679	616
533.5423	614
534.05774	612
534.57318	588
535.08862	583
535.60406	613
536.11945	584
536.63489	595
537.15027	632
537.66565	591
538.18097	610
538.69635	567
539.21167	607
539.72699	571
540.24231	588
540.75763	590
541.27289	570
541.78821	571
542.30347	575
542.81873	608
543.33392	602
543.84918	595
544.36438	593
544.87958	632
545.39478	632
545.90991	626
546.42511	593
546.94025	630
547.45538	650
547.97052	594
548.4856	696
549.00073	652
549.51581	687
550.03088	635
550.5459	657
551.06097	664
551.57599	680
552.091	678
552.60602	687
553.12097	676
553.63593	704
554.15094	701
554.66583	691
555.18079	759
555.69568	776
556.21063	724
556.72552	756
557.24036	729
557.75525	791
558.27008	768
558.78491	802
559.29974	793
559.81458	811
560.32935	805
560.84412	801
561.35889	817
561.87366	891
562.38837	876
562.90308	869
563.41779	958
563.9325	955
564.44714	897
564.96179	937
565.47644	903
565.99109	977
566.50574	984
567.02032	920
567.53491	1004
568.0495	940
568.56403	1046
569.07861	989
569.59314	1062
570.1076	981
570.62213	1028
571.1366	1057
571.65106	1027
572.16553	1094
572.67999	1102
573.1944	1102
573.7088	1093
574.22321	1133
574.73755	1199
575.25195	1212
575.7663	1164
576.28058	1240
576.79492	1262
577.3092	1231
577.82349	1182
578.33777	1302
578.85205	1269
579.36627	1299
579.88049	1312
580.39471	1310
580.90887	1353
581.42303	1352
581.93719	1305
582.45135	1352
582.96545	1401
583.47955	1357
583.99365	1454
584.50775	1458
585.02179	1415
585.53583	1493
586.04987	1387
586.5639	1490
587.07788	1498
587.59186	1565
588.10583	1540
588.61975	1536
589.13373	1595
589.64758	1565
590.1615	1530
590.67542	1536
591.18927	1555
591.70306	1554
592.21692	1584
592.73071	1560
593.24451	1593
593.7583	1607
594.27209	1583
594.78583	1612
595.29956	1620
595.81323	1634
596.32697	1672
596.84064	1616
597.35425	1697
597.86792	1649
598.38153	1665
598.89514	1620
599.40875	1580
599.9223	1694
600.43585	1692
600.9494	1662
601.46289	1693
601.97638	1661
602.48987	1620
