Date and Time:                Sat Oct 18 08:21:52.134 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	276
478.84332	316
479.35983	318
479.87631	331
480.39282	315
480.9093	320
481.42575	324
481.94223	333
482.45868	325
482.97513	328
483.49158	327
484.00803	342
484.52444	317
485.04086	352
485.55728	324
486.07367	350
486.59006	345
487.10645	327
487.62283	329
488.13919	340
488.65555	343
489.17191	320
489.68826	350
490.20459	349
490.72092	332
491.23724	354
491.75354	329
492.26984	350
492.78613	340
493.30243	347
493.8187	343
494.33496	327
494.85123	348
495.36746	343
495.8837	345
496.39993	353
496.91617	358
497.43237	338
497.94858	339
498.46478	367
498.98096	335
499.49713	337
500.01331	327
500.52945	332
501.04562	359
501.56174	351
502.07788	349
502.59399	350
503.11011	368
503.62622	357
504.1423	330
504.65839	346
505.17447	344
505.69052	367
506.20657	353
506.72263	349
507.23865	350
507.75467	364
508.27069	335
508.78668	328
509.30267	359
509.81866	354
510.33463	361
510.85059	339
511.36655	343
511.88248	348
512.39844	331
512.91437	341
513.43024	362
513.94617	366
514.46204	342
514.97791	357
515.49377	331
516.00964	345
516.52551	371
517.04132	313
517.55719	360
518.073	372
518.58881	356
519.10461	349
519.62036	336
520.13617	359
520.65192	368
521.16766	339
521.68341	361
522.1991	349
522.71484	358
523.23053	355
523.74622	344
524.2619	352
524.77759	352
525.29327	349
525.8089	332
526.32452	359
526.84015	354
527.35577	339
527.8714	372
528.38696	358
528.90259	341
529.41815	326
529.93372	364
530.44922	322
530.96478	359
531.48029	349
531.99579	368
532.51129	327
533.02679	357
533.5423	329
534.05774	348
534.57318	368
535.08862	356
535.60406	336
536.11945	344
536.63489	361
537.15027	323
537.66565	342
538.18097	315
538.69635	355
539.21167	347
539.72699	343
540.24231	340
540.75763	327
541.27289	331
541.78821	352
542.30347	321
542.81873	337
543.33392	329
543.84918	341
544.36438	350
544.87958	338
545.39478	332
545.90991	337
546.42511	347
546.94025	347
547.45538	350
547.97052	350
548.4856	333
549.00073	351
549.51581	346
550.03088	341
550.5459	343
551.06097	353
551.57599	335
552.091	328
552.60602	340
553.12097	377
553.63593	350
554.15094	341
554.66583	321
555.18079	352
555.69568	353
556.21063	323
556.72552	328
557.24036	334
557.75525	366
558.27008	351
558.78491	318
559.29974	319
559.81458	321
560.32935	346
560.84412	320
561.35889	308
561.87366	341
562.38837	323
562.90308	329
563.41779	353
563.9325	326
564.44714	345
564.96179	336
565.47644	345
565.99109	333
566.50574	329
567.02032	333
567.53491	335
568.0495	362
568.56403	325
569.07861	304
569.59314	330
570.1076	344
570.62213	368
571.1366	343
571.65106	335
572.16553	345
572.67999	343
573.1944	333
573.7088	347
574.22321	331
574.73755	360
575.25195	311
575.7663	336
576.28058	313
576.79492	310
577.3092	298
577.82349	345
578.33777	340
578.85205	342
579.36627	319
579.88049	336
580.39471	339
580.90887	332
581.42303	323
581.93719	318
582.45135	323
582.96545	341
583.47955	343
583.99365	344
584.50775	348
585.02179	317
585.53583	345
586.04987	312
586.5639	337
587.07788	325
587.59186	355
588.10583	335
588.61975	350
589.13373	315
589.64758	311
590.1615	312
590.67542	340
591.18927	321
591.70306	323
592.21692	328
592.73071	290
593.24451	335
593.7583	348
594.27209	340
594.78583	354
595.29956	337
595.81323	314
596.32697	331
596.84064	326
597.35425	312
597.86792	352
598.38153	326
598.89514	350
599.40875	313
599.9223	313
600.43585	319
600.9494	318
601.46289	337
601.97638	313
602.48987	338
603.00336	325
603.51678	322
604.03021	334
604.54364	313
605.05701	322
605.57043	335
606.08374	331
606.59711	329
607.11041	327
