Date and Time:                Sat Oct 18 09:24:36.837 2025
Software Version:             4.30.30000.0
Unstabilized Temperature (C): -87.684
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	268
478.84332	315
479.35983	325
479.87631	329
480.39282	335
480.9093	301
481.42575	309
481.94223	312
482.45868	322
482.97513	303
483.49158	317
484.00803	304
484.52444	321
485.04086	306
485.55728	324
486.07367	315
486.59006	329
487.10645	313
487.62283	331
488.13919	322
488.65555	317
489.17191	318
489.68826	318
490.20459	315
490.72092	321
491.23724	330
491.75354	322
492.26984	308
492.78613	329
493.30243	334
493.8187	308
494.33496	341
494.85123	344
495.36746	325
495.8837	296
496.39993	310
496.91617	328
497.43237	305
497.94858	306
498.46478	4385
498.98096	2206
499.49713	298
500.01331	315
500.52945	316
501.04562	336
501.56174	327
502.07788	313
502.59399	320
503.11011	316
503.62622	320
504.1423	328
504.65839	315
505.17447	313
505.69052	321
506.20657	324
506.72263	317
507.23865	328
507.75467	316
508.27069	308
508.78668	331
509.30267	337
509.81866	323
510.33463	309
510.85059	311
511.36655	326
511.88248	305
512.39844	325
512.91437	317
513.43024	321
513.94617	303
514.46204	353
514.97791	326
515.49377	324
516.00964	318
516.52551	338
517.04132	340
517.55719	308
518.073	322
518.58881	312
519.10461	315
519.62036	318
520.13617	308
520.65192	329
521.16766	317
521.68341	342
