Date and Time:                Sat Oct 18 09:49:11.836 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	332
478.84332	360
479.35983	360
479.87631	360
480.39282	373
480.9093	376
481.42575	355
481.94223	364
482.45868	368
482.97513	358
483.49158	385
484.00803	381
484.52444	362
485.04086	401
485.55728	433
486.07367	385
486.59006	397
487.10645	399
487.62283	419
488.13919	423
488.65555	422
489.17191	405
489.68826	451
490.20459	419
490.72092	470
491.23724	448
491.75354	453
492.26984	459
492.78613	463
493.30243	458
493.8187	474
494.33496	488
494.85123	478
495.36746	484
495.8837	501
496.39993	485
496.91617	546
497.43237	488
497.94858	526
498.46478	510
498.98096	544
499.49713	560
500.01331	558
500.52945	546
501.04562	572
501.56174	520
502.07788	551
502.59399	525
503.11011	502
503.62622	529
504.1423	545
504.65839	545
505.17447	526
505.69052	518
506.20657	494
506.72263	545
507.23865	565
507.75467	534
508.27069	530
508.78668	505
509.30267	493
509.81866	504
510.33463	554
510.85059	555
511.36655	547
511.88248	537
512.39844	543
512.91437	544
513.43024	515
513.94617	549
514.46204	539
514.97791	461
515.49377	525
516.00964	528
516.52551	522
517.04132	496
517.55719	522
518.073	541
518.58881	482
519.10461	500
519.62036	504
520.13617	517
520.65192	503
521.16766	532
521.68341	555
522.1991	542
522.71484	537
523.23053	534
523.74622	498
524.2619	506
524.77759	509
525.29327	530
525.8089	502
526.32452	519
526.84015	547
527.35577	530
527.8714	513
528.38696	520
528.90259	504
529.41815	477
529.93372	533
530.44922	503
530.96478	489
531.48029	466
531.99579	468
532.51129	519
533.02679	503
533.5423	501
534.05774	476
534.57318	492
535.08862	501
535.60406	538
536.11945	552
536.63489	556
537.15027	503
537.66565	514
538.18097	528
538.69635	475
539.21167	500
539.72699	488
540.24231	501
540.75763	508
541.27289	502
541.78821	504
542.30347	514
542.81873	481
543.33392	491
543.84918	510
544.36438	497
544.87958	500
545.39478	482
545.90991	498
546.42511	534
546.94025	489
547.45538	536
547.97052	475
548.4856	498
549.00073	509
549.51581	489
550.03088	518
550.5459	519
551.06097	480
551.57599	514
552.091	499
552.60602	538
553.12097	515
553.63593	512
554.15094	526
554.66583	526
555.18079	587
555.69568	525
556.21063	531
556.72552	548
557.24036	564
557.75525	514
558.27008	532
558.78491	511
559.29974	535
559.81458	554
560.32935	550
560.84412	547
561.35889	570
561.87366	575
562.38837	599
562.90308	565
563.41779	581
563.9325	577
564.44714	562
564.96179	561
565.47644	542
565.99109	585
566.50574	632
567.02032	616
567.53491	607
568.0495	601
568.56403	611
569.07861	583
569.59314	608
570.1076	597
570.62213	650
571.1366	641
571.65106	630
572.16553	694
572.67999	655
573.1944	719
573.7088	655
574.22321	647
574.73755	660
575.25195	689
575.7663	672
576.28058	700
576.79492	754
577.3092	703
577.82349	752
578.33777	736
578.85205	727
579.36627	692
579.88049	755
580.39471	761
580.90887	746
581.42303	802
581.93719	768
582.45135	762
582.96545	749
583.47955	745
583.99365	781
584.50775	753
585.02179	769
585.53583	790
586.04987	840
586.5639	798
587.07788	847
587.59186	811
588.10583	799
588.61975	876
589.13373	825
589.64758	833
590.1615	842
590.67542	871
591.18927	848
591.70306	893
592.21692	895
592.73071	848
593.24451	945
593.7583	859
594.27209	834
594.78583	937
595.29956	840
595.81323	916
596.32697	929
596.84064	859
597.35425	871
597.86792	904
598.38153	942
598.89514	953
599.40875	909
599.9223	888
600.43585	931
600.9494	961
601.46289	947
601.97638	940
602.48987	874
603.00336	881
603.51678	893
604.03021	923
604.54364	962
605.05701	886
605.57043	958
606.08374	964
606.59711	941
607.11041	938
