Date and Time:                Sat Oct 18 13:28:00.436 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	254
478.84332	322
479.35983	302
479.87631	331
480.39282	321
480.9093	332
481.42575	330
481.94223	322
482.45868	322
482.97513	342
483.49158	324
484.00803	356
484.52444	415
485.04086	456
485.55728	476
486.07367	506
486.59006	571
487.10645	604
487.62283	596
488.13919	738
488.65555	720
489.17191	812
489.68826	815
490.20459	873
490.72092	964
491.23724	927
491.75354	1002
492.26984	1124
492.78613	1191
493.30243	1146
493.8187	1212
494.33496	1302
494.85123	1373
495.36746	1432
495.8837	1522
496.39993	1545
496.91617	1632
497.43237	1691
497.94858	1875
498.46478	1832
498.98096	2083
499.49713	1993
500.01331	2115
500.52945	2265
501.04562	2369
501.56174	2649
502.07788	2680
502.59399	3017
503.11011	3260
503.62622	3565
504.1423	3935
504.65839	4530
505.17447	4867
505.69052	5575
506.20657	6017
506.72263	6743
507.23865	7574
507.75467	8281
508.27069	9262
508.78668	10224
509.30267	11247
509.81866	12294
510.33463	13354
510.85059	14569
511.36655	15468
511.88248	16725
512.39844	17283
512.91437	17768
513.43024	18621
513.94617	19162
514.46204	19791
514.97791	19814
515.49377	20046
516.00964	20477
516.52551	20319
517.04132	20177
517.55719	19862
518.073	19809
518.58881	19658
519.10461	19281
519.62036	18467
520.13617	17981
520.65192	17123
521.16766	17160
521.68341	15837
522.1991	15204
522.71484	14480
523.23053	13888
523.74622	12756
524.2619	11598
524.77759	10719
525.29327	9600
525.8089	8597
526.32452	7568
526.84015	6862
527.35577	5873
527.8714	5395
528.38696	4716
528.90259	4186
529.41815	3746
529.93372	3410
530.44922	2855
530.96478	2874
531.48029	2663
531.99579	2453
532.51129	2441
533.02679	2247
533.5423	2301
534.05774	2259
534.57318	2306
535.08862	2159
535.60406	2253
536.11945	2198
536.63489	2177
537.15027	2153
537.66565	2057
538.18097	1999
538.69635	1944
539.21167	1897
539.72699	1813
540.24231	1902
540.75763	1756
541.27289	1811
541.78821	1745
542.30347	1772
542.81873	1656
543.33392	1622
543.84918	1596
544.36438	1591
544.87958	1523
545.39478	1529
545.90991	1487
546.42511	1457
546.94025	1459
547.45538	1408
547.97052	1488
548.4856	1383
549.00073	1395
549.51581	1374
550.03088	1394
550.5459	1321
551.06097	1392
551.57599	1296
552.091	1330
552.60602	1227
553.12097	1303
553.63593	1210
554.15094	1285
554.66583	1335
555.18079	1223
555.69568	1299
556.21063	1261
556.72552	1330
557.24036	1184
557.75525	1192
558.27008	1231
558.78491	1123
559.29974	1125
559.81458	1205
560.32935	1158
560.84412	1130
561.35889	1146
561.87366	1111
562.38837	1118
562.90308	1119
563.41779	1105
563.9325	1069
564.44714	1073
564.96179	1095
565.47644	1093
565.99109	1093
566.50574	1090
567.02032	1059
567.53491	1077
568.0495	1034
568.56403	1094
569.07861	1039
569.59314	1031
570.1076	1065
570.62213	978
571.1366	961
571.65106	1030
572.16553	1009
572.67999	955
573.1944	1019
573.7088	1012
574.22321	949
574.73755	922
575.25195	978
575.7663	916
576.28058	912
576.79492	916
577.3092	891
577.82349	923
578.33777	945
578.85205	921
579.36627	882
579.88049	851
580.39471	906
580.90887	839
581.42303	980
581.93719	892
582.45135	887
582.96545	882
583.47955	858
583.99365	848
584.50775	898
585.02179	838
585.53583	799
586.04987	826
586.5639	823
587.07788	765
587.59186	766
588.10583	799
588.61975	768
589.13373	816
589.64758	753
590.1615	833
590.67542	765
591.18927	780
591.70306	777
592.21692	758
592.73071	769
593.24451	791
593.7583	783
594.27209	765
594.78583	757
595.29956	712
595.81323	715
