Date and Time:                Sat Oct 18 13:54:52.606 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	316
478.84332	366
479.35983	361
479.87631	374
480.39282	350
480.9093	387
481.42575	367
481.94223	370
482.45868	366
482.97513	374
483.49158	394
484.00803	380
484.52444	388
485.04086	373
485.55728	409
486.07367	421
486.59006	422
487.10645	415
487.62283	409
488.13919	404
488.65555	406
489.17191	417
489.68826	438
490.20459	434
490.72092	466
491.23724	449
491.75354	430
492.26984	442
492.78613	479
493.30243	451
493.8187	461
494.33496	457
494.85123	477
495.36746	479
495.8837	522
496.39993	509
496.91617	466
497.43237	513
497.94858	512
498.46478	531
498.98096	497
499.49713	524
500.01331	540
500.52945	539
501.04562	524
501.56174	505
502.07788	505
502.59399	525
503.11011	521
503.62622	491
504.1423	532
504.65839	492
505.17447	501
505.69052	500
506.20657	522
506.72263	512
507.23865	507
507.75467	526
508.27069	505
508.78668	496
509.30267	478
509.81866	513
510.33463	527
510.85059	507
511.36655	483
511.88248	506
512.39844	489
512.91437	508
513.43024	501
513.94617	504
514.46204	492
514.97791	485
515.49377	501
516.00964	475
516.52551	500
517.04132	507
517.55719	466
518.073	529
518.58881	470
519.10461	499
519.62036	519
520.13617	493
520.65192	473
521.16766	476
521.68341	521
522.1991	468
522.71484	462
523.23053	449
523.74622	499
524.2619	480
524.77759	494
525.29327	478
525.8089	477
526.32452	489
526.84015	473
527.35577	473
527.8714	488
528.38696	454
528.90259	459
529.41815	456
529.93372	452
530.44922	492
530.96478	513
531.48029	479
531.99579	478
532.51129	470
533.02679	477
533.5423	469
534.05774	460
534.57318	481
535.08862	458
535.60406	476
536.11945	475
536.63489	475
537.15027	463
537.66565	431
538.18097	455
538.69635	442
539.21167	447
539.72699	464
540.24231	454
540.75763	465
541.27289	434
541.78821	474
542.30347	499
542.81873	454
543.33392	467
543.84918	462
544.36438	482
544.87958	509
545.39478	463
545.90991	463
546.42511	454
546.94025	445
547.45538	466
547.97052	467
548.4856	459
549.00073	457
549.51581	480
550.03088	479
550.5459	434
551.06097	451
551.57599	481
552.091	460
552.60602	462
553.12097	447
553.63593	424
554.15094	467
554.66583	486
555.18079	462
555.69568	458
556.21063	459
556.72552	441
557.24036	453
557.75525	485
558.27008	459
558.78491	456
559.29974	437
559.81458	502
560.32935	462
560.84412	465
561.35889	448
561.87366	430
562.38837	477
562.90308	487
563.41779	530
563.9325	497
564.44714	512
564.96179	450
565.47644	522
565.99109	503
566.50574	517
567.02032	475
567.53491	495
568.0495	491
568.56403	511
569.07861	492
569.59314	499
570.1076	503
570.62213	522
571.1366	502
571.65106	563
572.16553	538
572.67999	532
573.1944	537
573.7088	524
574.22321	493
574.73755	515
575.25195	530
575.7663	560
576.28058	573
576.79492	582
577.3092	572
577.82349	531
578.33777	543
578.85205	549
579.36627	540
579.88049	566
580.39471	569
580.90887	572
581.42303	584
581.93719	554
582.45135	560
582.96545	582
583.47955	571
583.99365	590
584.50775	575
585.02179	620
585.53583	553
586.04987	597
586.5639	601
587.07788	561
587.59186	627
588.10583	608
588.61975	605
589.13373	617
589.64758	593
590.1615	576
590.67542	640
591.18927	631
591.70306	617
592.21692	608
592.73071	634
593.24451	601
593.7583	609
594.27209	664
594.78583	662
595.29956	595
595.81323	630
596.32697	622
596.84064	611
597.35425	649
597.86792	686
598.38153	639
598.89514	633
599.40875	643
599.9223	609
600.43585	622
600.9494	659
601.46289	661
601.97638	653
602.48987	643
603.00336	689
603.51678	684
604.03021	685
604.54364	646
605.05701	641
605.57043	666
606.08374	652
606.59711	697
607.11041	605
