Date and Time:                Wed Oct 22 09:28:57.045 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	264
478.84332	313
479.35983	332
479.87631	298
480.39282	338
480.9093	335
481.42575	346
481.94223	324
482.45868	318
482.97513	316
483.49158	344
484.00803	355
484.52444	351
485.04086	348
485.55728	320
486.07367	323
486.59006	337
487.10645	345
487.62283	327
488.13919	327
488.65555	370
489.17191	325
489.68826	339
490.20459	342
490.72092	322
491.23724	375
491.75354	348
492.26984	350
492.78613	319
493.30243	330
493.8187	357
494.33496	333
494.85123	357
495.36746	349
495.8837	350
496.39993	349
496.91617	353
497.43237	346
497.94858	361
498.46478	334
498.98096	373
499.49713	371
500.01331	358
500.52945	361
501.04562	321
501.56174	355
502.07788	358
502.59399	349
503.11011	355
503.62622	353
504.1423	359
504.65839	356
505.17447	342
505.69052	360
506.20657	340
506.72263	356
507.23865	374
507.75467	350
508.27069	333
508.78668	357
509.30267	356
509.81866	330
510.33463	351
510.85059	361
511.36655	341
511.88248	354
512.39844	342
512.91437	362
513.43024	353
513.94617	350
514.46204	364
514.97791	361
515.49377	363
516.00964	320
516.52551	361
517.04132	338
517.55719	372
518.073	354
518.58881	360
519.10461	371
519.62036	360
520.13617	343
520.65192	363
521.16766	366
521.68341	354
522.1991	371
522.71484	334
523.23053	367
523.74622	335
524.2619	373
524.77759	358
525.29327	348
525.8089	353
526.32452	360
526.84015	366
527.35577	354
527.8714	341
528.38696	345
528.90259	351
529.41815	1460
529.93372	379
530.44922	315
530.96478	368
531.48029	367
531.99579	359
532.51129	363
533.02679	341
533.5423	350
534.05774	375
534.57318	363
535.08862	337
535.60406	362
536.11945	373
536.63489	357
537.15027	377
537.66565	369
538.18097	333
538.69635	353
539.21167	368
539.72699	338
540.24231	332
540.75763	325
541.27289	364
541.78821	359
542.30347	354
542.81873	338
543.33392	344
543.84918	359
544.36438	368
544.87958	351
545.39478	336
545.90991	357
546.42511	346
546.94025	352
547.45538	353
547.97052	369
548.4856	340
549.00073	354
549.51581	330
550.03088	360
550.5459	358
551.06097	357
551.57599	346
552.091	355
552.60602	341
553.12097	333
553.63593	347
554.15094	339
554.66583	342
555.18079	349
555.69568	333
556.21063	346
556.72552	330
557.24036	354
557.75525	328
558.27008	341
558.78491	364
559.29974	335
559.81458	348
560.32935	342
560.84412	330
561.35889	347
561.87366	352
562.38837	313
562.90308	320
563.41779	345
563.9325	342
564.44714	331
564.96179	313
565.47644	342
565.99109	334
566.50574	326
567.02032	333
567.53491	340
568.0495	349
568.56403	321
569.07861	325
569.59314	354
570.1076	333
570.62213	321
571.1366	327
571.65106	331
572.16553	344
572.67999	329
573.1944	344
573.7088	323
574.22321	331
574.73755	345
575.25195	343
575.7663	358
576.28058	345
576.79492	355
577.3092	329
577.82349	323
578.33777	339
578.85205	346
579.36627	350
579.88049	359
580.39471	325
580.90887	343
581.42303	351
581.93719	349
582.45135	337
582.96545	319
583.47955	333
583.99365	335
584.50775	333
585.02179	347
585.53583	333
586.04987	350
586.5639	316
587.07788	340
587.59186	338
588.10583	327
588.61975	324
589.13373	336
589.64758	334
590.1615	329
590.67542	318
591.18927	339
591.70306	350
592.21692	338
592.73071	340
593.24451	323
593.7583	333
594.27209	337
594.78583	317
595.29956	346
595.81323	345
596.32697	330
596.84064	331
597.35425	317
597.86792	332
598.38153	323
598.89514	355
599.40875	327
599.9223	345
600.43585	345
600.9494	338
601.46289	325
601.97638	341
602.48987	331
603.00336	320
603.51678	297
604.03021	342
604.54364	338
605.05701	331
605.57043	329
606.08374	347
606.59711	327
607.11041	342
