Date and Time:                Wed Oct 22 09:18:53.548 2025
Software Version:             4.30.30000.0
Unstabilized Temperature (C): -89.631
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	251
478.84332	304
479.35983	310
479.87631	316
480.39282	317
480.9093	322
481.42575	321
481.94223	310
482.45868	315
482.97513	313
483.49158	328
484.00803	301
484.52444	328
485.04086	318
485.55728	296
486.07367	315
486.59006	306
487.10645	318
487.62283	328
488.13919	337
488.65555	318
489.17191	319
489.68826	319
490.20459	311
490.72092	316
491.23724	344
491.75354	319
492.26984	318
492.78613	334
493.30243	315
493.8187	321
494.33496	319
494.85123	319
495.36746	298
495.8837	306
496.39993	319
496.91617	324
497.43237	314
497.94858	338
498.46478	314
498.98096	327
499.49713	303
500.01331	321
500.52945	314
501.04562	329
501.56174	307
502.07788	322
502.59399	339
503.11011	313
503.62622	331
504.1423	311
504.65839	296
505.17447	334
505.69052	306
506.20657	325
506.72263	327
507.23865	307
507.75467	322
508.27069	313
508.78668	319
509.30267	312
509.81866	310
510.33463	349
510.85059	294
511.36655	310
511.88248	322
512.39844	317
512.91437	314
513.43024	313
513.94617	306
514.46204	298
514.97791	325
515.49377	323
516.00964	317
516.52551	314
517.04132	326
517.55719	324
518.073	297
518.58881	312
519.10461	317
519.62036	318
520.13617	322
520.65192	335
521.16766	308
521.68341	303
522.1991	336
522.71484	307
523.23053	325
523.74622	325
524.2619	305
524.77759	310
525.29327	308
525.8089	313
526.32452	313
526.84015	312
527.35577	340
527.8714	304
528.38696	322
528.90259	334
529.41815	292
529.93372	310
530.44922	321
530.96478	327
531.48029	327
531.99579	304
532.51129	308
533.02679	331
533.5423	334
534.05774	321
534.57318	320
535.08862	323
535.60406	294
536.11945	295
536.63489	324
537.15027	309
537.66565	350
538.18097	318
538.69635	287
539.21167	320
539.72699	322
540.24231	322
540.75763	315
541.27289	303
541.78821	304
542.30347	304
542.81873	288
543.33392	307
543.84918	303
544.36438	306
544.87958	340
545.39478	307
545.90991	327
546.42511	326
546.94025	305
547.45538	310
547.97052	311
548.4856	316
549.00073	290
549.51581	318
550.03088	333
550.5459	335
551.06097	310
551.57599	305
552.091	316
552.60602	306
553.12097	307
553.63593	318
554.15094	328
554.66583	326
555.18079	298
555.69568	289
556.21063	330
556.72552	331
557.24036	317
557.75525	291
558.27008	335
558.78491	303
559.29974	328
559.81458	279
560.32935	309
560.84412	318
561.35889	313
561.87366	309
562.38837	336
562.90308	333
563.41779	328
563.9325	309
564.44714	320
564.96179	307
565.47644	296
565.99109	311
566.50574	328
567.02032	314
567.53491	321
568.0495	305
568.56403	311
569.07861	325
569.59314	289
570.1076	313
570.62213	309
571.1366	298
571.65106	317
572.16553	308
572.67999	305
573.1944	334
573.7088	314
574.22321	306
574.73755	329
575.25195	306
575.7663	319
576.28058	348
576.79492	311
577.3092	306
577.82349	310
578.33777	335
578.85205	324
579.36627	302
579.88049	335
580.39471	305
580.90887	323
581.42303	326
581.93719	307
582.45135	327
582.96545	334
583.47955	328
583.99365	308
584.50775	302
585.02179	327
585.53583	298
586.04987	321
586.5639	320
587.07788	312
587.59186	322
588.10583	318
588.61975	324
589.13373	303
589.64758	300
590.1615	306
590.67542	332
591.18927	321
591.70306	289
592.21692	288
592.73071	314
593.24451	323
593.7583	316
594.27209	327
594.78583	307
595.29956	328
595.81323	331
596.32697	308
596.84064	299
597.35425	315
597.86792	331
598.38153	319
598.89514	305
599.40875	308
599.9223	309
600.43585	304
600.9494	319
601.46289	324
601.97638	310
602.48987	327
