Date and Time:                Wed Oct 22 09:32:42.576 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	265
478.84332	326
479.35983	335
479.87631	310
480.39282	322
480.9093	313
481.42575	313
481.94223	313
482.45868	347
482.97513	336
483.49158	351
484.00803	361
484.52444	382
485.04086	467
485.55728	509
486.07367	525
486.59006	590
487.10645	604
487.62283	676
488.13919	736
488.65555	709
489.17191	767
489.68826	892
490.20459	909
490.72092	960
491.23724	972
491.75354	1104
492.26984	1105
492.78613	1114
493.30243	1215
493.8187	1255
494.33496	1285
494.85123	1355
495.36746	1442
495.8837	1439
496.39993	1573
496.91617	1680
497.43237	1674
497.94858	1837
498.46478	1845
498.98096	1967
499.49713	2125
500.01331	2120
500.52945	2281
501.04562	2317
501.56174	2621
502.07788	2789
502.59399	2978
503.11011	3278
503.62622	3521
504.1423	3979
504.65839	4413
505.17447	4858
505.69052	5485
506.20657	6043
506.72263	6655
507.23865	7356
507.75467	8151
508.27069	8984
508.78668	10072
509.30267	10861
509.81866	12113
510.33463	13329
510.85059	14421
511.36655	15349
511.88248	16350
512.39844	17154
512.91437	17559
513.43024	18235
513.94617	18772
514.46204	19395
514.97791	19771
515.49377	20067
516.00964	20031
516.52551	20035
517.04132	20264
517.55719	19773
518.073	19326
518.58881	19103
519.10461	18968
519.62036	18532
520.13617	18033
520.65192	17283
521.16766	16501
521.68341	15778
522.1991	15444
522.71484	14224
523.23053	13744
523.74622	12762
524.2619	11621
524.77759	10364
525.29327	9810
525.8089	8606
526.32452	7461
526.84015	6613
527.35577	6209
527.8714	5338
528.38696	4611
528.90259	4142
529.41815	3650
529.93372	3276
530.44922	3037
530.96478	2821
531.48029	2650
531.99579	2455
532.51129	2376
533.02679	2335
533.5423	2279
534.05774	2266
534.57318	2207
535.08862	2241
535.60406	2251
536.11945	2144
536.63489	2136
537.15027	2097
537.66565	2037
538.18097	2038
538.69635	1997
539.21167	1841
539.72699	1901
540.24231	1860
540.75763	1807
541.27289	1814
541.78821	1704
542.30347	1713
542.81873	1697
543.33392	1622
543.84918	1562
544.36438	1599
544.87958	1605
545.39478	1483
545.90991	1487
546.42511	1527
546.94025	1504
547.45538	1440
547.97052	1380
548.4856	1377
549.00073	1390
549.51581	1400
550.03088	1363
550.5459	1345
551.06097	1387
551.57599	1342
552.091	1286
552.60602	1309
553.12097	1240
553.63593	1225
554.15094	1179
554.66583	1239
555.18079	1308
555.69568	1267
556.21063	1278
556.72552	1276
557.24036	1216
557.75525	1201
558.27008	1208
558.78491	1191
559.29974	1225
559.81458	1115
560.32935	1115
560.84412	1146
561.35889	1157
561.87366	1116
562.38837	1124
562.90308	1165
563.41779	1068
563.9325	1096
564.44714	1103
564.96179	1125
565.47644	1101
565.99109	1119
566.50574	1050
567.02032	1108
567.53491	1016
568.0495	1110
568.56403	1048
569.07861	1034
569.59314	1018
570.1076	1056
570.62213	1042
571.1366	1023
571.65106	1010
572.16553	963
572.67999	963
573.1944	1015
573.7088	998
574.22321	912
574.73755	980
575.25195	914
575.7663	927
576.28058	903
576.79492	943
577.3092	958
577.82349	922
578.33777	880
578.85205	878
579.36627	952
579.88049	906
580.39471	842
580.90887	878
581.42303	882
581.93719	860
582.45135	899
582.96545	852
583.47955	882
583.99365	765
584.50775	853
585.02179	862
585.53583	846
586.04987	800
586.5639	821
587.07788	802
587.59186	784
588.10583	798
588.61975	790
589.13373	796
589.64758	745
590.1615	750
590.67542	778
591.18927	743
591.70306	767
592.21692	752
592.73071	759
593.24451	729
593.7583	713
594.27209	747
594.78583	735
595.29956	734
595.81323	693
