Date and Time:                Wed Oct 22 09:57:31.402 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	309
478.84332	342
479.35983	346
479.87631	395
480.39282	354
480.9093	374
481.42575	375
481.94223	382
482.45868	376
482.97513	347
483.49158	388
484.00803	355
484.52444	368
485.04086	390
485.55728	426
486.07367	463
486.59006	452
487.10645	452
487.62283	459
488.13919	455
488.65555	485
489.17191	502
489.68826	494
490.20459	515
490.72092	542
491.23724	532
491.75354	558
492.26984	542
492.78613	570
493.30243	572
493.8187	571
494.33496	667
494.85123	628
495.36746	640
495.8837	639
496.39993	650
496.91617	652
497.43237	710
497.94858	730
498.46478	664
498.98096	698
499.49713	728
500.01331	706
500.52945	699
501.04562	696
501.56174	711
502.07788	731
502.59399	746
503.11011	712
503.62622	726
504.1423	704
504.65839	699
505.17447	703
505.69052	724
506.20657	714
506.72263	736
507.23865	708
507.75467	734
508.27069	704
508.78668	737
509.30267	715
509.81866	708
510.33463	693
510.85059	703
511.36655	759
511.88248	703
512.39844	719
512.91437	708
513.43024	696
513.94617	742
514.46204	712
514.97791	729
515.49377	717
516.00964	734
516.52551	687
517.04132	662
517.55719	691
518.073	689
518.58881	679
519.10461	673
519.62036	704
520.13617	699
520.65192	687
521.16766	694
521.68341	680
522.1991	707
522.71484	694
523.23053	716
523.74622	659
524.2619	676
524.77759	678
525.29327	690
525.8089	665
526.32452	690
526.84015	657
527.35577	657
527.8714	714
528.38696	670
528.90259	626
529.41815	666
529.93372	644
530.44922	693
530.96478	653
531.48029	653
531.99579	664
532.51129	649
533.02679	703
533.5423	658
534.05774	678
534.57318	642
535.08862	635
535.60406	645
536.11945	651
536.63489	613
537.15027	738
537.66565	662
538.18097	667
538.69635	654
539.21167	675
539.72699	674
540.24231	654
540.75763	679
541.27289	633
541.78821	641
542.30347	631
542.81873	637
543.33392	681
543.84918	665
544.36438	664
544.87958	688
545.39478	684
545.90991	653
546.42511	633
546.94025	675
547.45538	681
547.97052	690
548.4856	679
549.00073	663
549.51581	691
550.03088	721
550.5459	719
551.06097	719
551.57599	738
552.091	713
552.60602	764
553.12097	726
553.63593	723
554.15094	704
554.66583	769
555.18079	736
555.69568	790
556.21063	800
556.72552	802
557.24036	788
557.75525	833
558.27008	825
558.78491	834
559.29974	806
559.81458	868
560.32935	836
560.84412	863
561.35889	837
561.87366	791
562.38837	911
562.90308	858
563.41779	912
563.9325	938
564.44714	883
564.96179	881
565.47644	923
565.99109	991
566.50574	926
567.02032	1011
567.53491	962
568.0495	1013
568.56403	1013
569.07861	1075
569.59314	1071
570.1076	993
570.62213	1059
571.1366	1090
571.65106	1158
572.16553	1071
572.67999	1077
573.1944	1078
573.7088	1098
574.22321	1207
574.73755	1160
575.25195	1136
575.7663	1185
576.28058	1171
576.79492	1185
577.3092	1195
577.82349	1175
578.33777	1261
578.85205	1217
579.36627	1308
579.88049	1169
580.39471	1316
580.90887	1354
581.42303	1340
581.93719	1350
582.45135	1365
582.96545	1396
583.47955	1365
583.99365	1370
584.50775	1467
585.02179	1350
585.53583	1466
586.04987	1526
586.5639	1478
587.07788	1457
587.59186	1500
588.10583	1482
588.61975	1454
589.13373	1427
589.64758	1474
590.1615	1554
590.67542	1520
591.18927	1585
591.70306	1552
592.21692	1580
592.73071	1501
593.24451	1604
593.7583	1612
594.27209	1562
594.78583	1631
595.29956	1597
595.81323	1635
596.32697	1600
596.84064	1662
597.35425	1652
597.86792	1606
598.38153	1566
598.89514	1657
599.40875	1671
599.9223	1673
600.43585	1663
600.9494	1656
601.46289	1705
601.97638	1580
602.48987	1729
