Date and Time:                Thu Oct 30 08:34:53.862 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	271
478.84332	316
479.35983	296
479.87631	309
480.39282	338
480.9093	321
481.42575	335
481.94223	309
482.45868	333
482.97513	315
483.49158	325
484.00803	337
484.52444	322
485.04086	328
485.55728	343
486.07367	317
486.59006	330
487.10645	322
487.62283	338
488.13919	338
488.65555	328
489.17191	349
489.68826	338
490.20459	327
490.72092	324
491.23724	347
491.75354	311
492.26984	360
492.78613	331
493.30243	321
493.8187	322
494.33496	356
494.85123	312
495.36746	331
495.8837	344
496.39993	361
496.91617	384
497.43237	348
497.94858	353
498.46478	351
498.98096	331
499.49713	384
500.01331	342
500.52945	358
501.04562	367
501.56174	369
502.07788	333
502.59399	343
503.11011	377
503.62622	364
504.1423	351
504.65839	341
505.17447	344
505.69052	369
506.20657	336
506.72263	328
507.23865	353
507.75467	346
508.27069	359
508.78668	354
509.30267	341
509.81866	361
510.33463	342
510.85059	332
511.36655	347
511.88248	379
512.39844	365
512.91437	344
513.43024	356
513.94617	362
514.46204	346
514.97791	349
515.49377	330
516.00964	350
516.52551	322
517.04132	363
517.55719	344
518.073	340
518.58881	340
519.10461	339
519.62036	360
520.13617	351
520.65192	357
521.16766	339
521.68341	344
522.1991	362
522.71484	337
523.23053	362
523.74622	340
524.2619	320
524.77759	334
525.29327	370
525.8089	338
526.32452	368
526.84015	348
527.35577	350
527.8714	387
528.38696	349
528.90259	373
529.41815	343
529.93372	345
530.44922	355
530.96478	370
531.48029	333
531.99579	343
532.51129	370
533.02679	360
533.5423	348
534.05774	318
534.57318	366
535.08862	346
535.60406	345
536.11945	337
536.63489	333
537.15027	345
537.66565	330
538.18097	372
538.69635	340
539.21167	337
539.72699	350
540.24231	364
540.75763	324
541.27289	341
541.78821	372
542.30347	336
542.81873	350
543.33392	360
543.84918	329
544.36438	351
544.87958	338
545.39478	344
545.90991	334
546.42511	351
546.94025	372
547.45538	355
547.97052	331
548.4856	353
549.00073	337
549.51581	346
550.03088	325
550.5459	345
551.06097	329
551.57599	353
552.091	332
552.60602	342
553.12097	333
553.63593	339
554.15094	335
554.66583	356
555.18079	331
555.69568	332
556.21063	340
556.72552	342
557.24036	333
557.75525	344
558.27008	335
558.78491	337
559.29974	349
559.81458	339
560.32935	357
560.84412	331
561.35889	329
561.87366	337
562.38837	345
562.90308	326
563.41779	334
563.9325	350
564.44714	324
564.96179	321
565.47644	351
565.99109	328
566.50574	346
567.02032	329
567.53491	358
568.0495	357
568.56403	332
569.07861	335
569.59314	332
570.1076	350
570.62213	330
571.1366	325
571.65106	334
572.16553	338
572.67999	345
573.1944	325
573.7088	337
574.22321	357
574.73755	342
575.25195	338
575.7663	342
576.28058	322
576.79492	331
577.3092	343
577.82349	323
578.33777	351
578.85205	329
579.36627	346
579.88049	319
580.39471	340
580.90887	326
581.42303	325
581.93719	314
582.45135	337
582.96545	334
583.47955	321
583.99365	306
584.50775	347
585.02179	324
585.53583	344
586.04987	340
586.5639	322
587.07788	334
587.59186	337
588.10583	341
588.61975	317
589.13373	335
589.64758	325
590.1615	337
590.67542	340
591.18927	330
591.70306	308
592.21692	335
592.73071	326
593.24451	330
593.7583	351
594.27209	343
594.78583	324
595.29956	318
595.81323	337
596.32697	332
596.84064	305
597.35425	336
597.86792	337
598.38153	324
598.89514	345
599.40875	338
599.9223	318
600.43585	320
600.9494	308
601.46289	333
601.97638	315
602.48987	327
603.00336	310
603.51678	335
604.03021	345
604.54364	331
605.05701	334
605.57043	316
606.08374	314
606.59711	345
607.11041	312
