Date and Time:                Thu Oct 30 08:25:44.618 2025
Software Version:             4.30.30000.0
Unstabilized Temperature (C): -88.982
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	261
478.84332	294
479.35983	296
479.87631	328
480.39282	323
480.9093	303
481.42575	317
481.94223	315
482.45868	322
482.97513	342
483.49158	322
484.00803	326
484.52444	333
485.04086	315
485.55728	332
486.07367	298
486.59006	326
487.10645	335
487.62283	326
488.13919	312
488.65555	306
489.17191	304
489.68826	306
490.20459	306
490.72092	314
491.23724	301
491.75354	335
492.26984	325
492.78613	322
493.30243	310
493.8187	320
494.33496	303
494.85123	314
495.36746	326
495.8837	318
496.39993	310
496.91617	333
497.43237	323
497.94858	329
498.46478	306
498.98096	317
499.49713	292
500.01331	335
500.52945	329
501.04562	312
501.56174	327
502.07788	324
502.59399	332
503.11011	312
503.62622	320
504.1423	311
504.65839	306
505.17447	308
505.69052	325
506.20657	309
506.72263	326
507.23865	307
507.75467	310
508.27069	321
508.78668	303
509.30267	313
509.81866	323
510.33463	315
510.85059	317
511.36655	310
511.88248	316
512.39844	327
512.91437	326
513.43024	311
513.94617	342
514.46204	313
514.97791	323
515.49377	330
516.00964	307
516.52551	330
517.04132	327
517.55719	316
518.073	331
518.58881	296
519.10461	324
519.62036	296
520.13617	316
520.65192	321
521.16766	312
521.68341	314
522.1991	334
522.71484	316
523.23053	321
523.74622	311
524.2619	321
524.77759	303
525.29327	319
525.8089	337
526.32452	297
526.84015	305
527.35577	338
527.8714	332
528.38696	336
528.90259	326
529.41815	309
529.93372	315
530.44922	322
530.96478	310
531.48029	327
531.99579	323
532.51129	324
533.02679	330
533.5423	328
534.05774	307
534.57318	300
535.08862	317
535.60406	315
536.11945	312
536.63489	319
537.15027	321
537.66565	292
538.18097	326
538.69635	307
539.21167	324
539.72699	310
540.24231	312
540.75763	318
541.27289	322
541.78821	319
542.30347	314
542.81873	329
543.33392	322
543.84918	290
544.36438	345
544.87958	306
545.39478	323
545.90991	334
546.42511	327
546.94025	309
547.45538	326
547.97052	310
548.4856	303
549.00073	338
549.51581	324
550.03088	309
550.5459	324
551.06097	296
551.57599	327
552.091	306
552.60602	313
553.12097	318
553.63593	327
554.15094	305
554.66583	307
555.18079	311
555.69568	307
556.21063	315
556.72552	330
557.24036	309
557.75525	325
558.27008	340
558.78491	301
559.29974	313
559.81458	307
560.32935	343
560.84412	334
561.35889	323
561.87366	310
562.38837	308
562.90308	314
563.41779	353
563.9325	329
564.44714	318
564.96179	315
565.47644	320
565.99109	336
566.50574	337
567.02032	330
567.53491	304
568.0495	309
568.56403	315
569.07861	299
569.59314	313
570.1076	305
570.62213	298
571.1366	327
571.65106	320
572.16553	311
572.67999	346
573.1944	327
573.7088	312
574.22321	308
574.73755	317
575.25195	329
575.7663	321
576.28058	319
576.79492	322
577.3092	310
577.82349	315
578.33777	320
578.85205	335
579.36627	304
579.88049	294
580.39471	306
580.90887	321
581.42303	327
581.93719	292
582.45135	327
582.96545	322
583.47955	308
583.99365	325
584.50775	315
585.02179	309
585.53583	301
586.04987	318
586.5639	316
587.07788	310
587.59186	345
588.10583	318
588.61975	328
589.13373	312
589.64758	323
590.1615	315
590.67542	312
591.18927	294
591.70306	306
592.21692	322
592.73071	305
593.24451	325
593.7583	313
594.27209	318
594.78583	307
595.29956	305
595.81323	311
596.32697	322
596.84064	314
597.35425	313
597.86792	323
598.38153	330
598.89514	325
599.40875	325
599.9223	318
600.43585	335
600.9494	319
601.46289	314
601.97638	307
602.48987	325
603.00336	320
603.51678	318
604.03021	292
604.54364	324
605.05701	293
605.57043	318
606.08374	317
606.59711	311
607.11041	329
607.62372	315
608.13702	311
608.65027	316
609.16351	338
609.67676	329
610.19	319
610.70319	318
611.21637	314
611.72949	312
612.24268	337
612.75574	322
613.26886	310
613.78192	323
614.29504	326
614.80804	338
615.32111	315
615.83411	333
616.34711	310
616.86005	316
617.37299	336
617.88593	318
618.39886	299
618.91174	320
619.42462	317
619.9375	291
620.45032	322
620.96313	309
621.47595	325
621.98871	311
622.50146	317
623.01422	323
623.52692	300
624.03967	320
624.55231	289
625.065	324
625.57764	313
626.09027	317
626.60284	284
627.11542	329
627.62799	308
628.14056	339
628.65308	312
629.16559	339
629.6781	332
630.19055	296
630.703	317
631.21539	325
631.72784	320
632.24017	311
632.75256	323
633.26489	294
633.77722	329
634.28955	310
634.80182	316
635.31409	304
635.82635	321
636.33856	330
636.85077	303
637.36292	312
637.87512	301
638.38721	311
638.89935	319
639.41144	298
639.92352	302
640.43561	318
640.94763	322
641.45966	323
641.97162	293
642.48358	322
642.99554	313
643.50751	319
644.01941	306
644.53131	304
645.04315	305
645.55499	317
646.06683	313
646.57861	313
647.09045	306
647.60217	324
648.11395	312
648.62567	310
649.13733	307
649.64905	321
650.16064	320
650.6723	314
651.1839	328
651.6955	319
652.20709	303
652.71863	308
653.23016	320
653.74164	312
654.25311	298
654.76459	321
655.276	327
655.78741	290
656.29883	303
656.81018	327
657.32153	320
657.83289	325
658.34418	306
658.85547	312
659.3667	325
659.87793	287
660.38916	306
660.90033	315
661.4115	316
661.92267	316
662.43378	304
662.94489	305
663.45593	321
663.96698	321
664.47803	323
664.98907	308
665.50006	323
666.01099	298
666.52191	306
667.03284	322
667.54376	301
668.05463	308
668.56549	311
669.07629	314
669.5871	307
670.0979	331
670.60864	301
671.11938	314
671.63007	323
672.14075	319
672.65143	319
673.16205	327
673.67267	324
674.18329	320
674.69385	334
675.20435	315
675.7149	321
676.2254	320
676.73584	308
677.24628	319
677.75671	322
678.26715	325
678.77753	312
679.28784	312
679.79822	293
680.30847	304
680.81879	322
681.32904	318
681.83923	292
682.34949	321
682.85968	308
683.36981	338
683.87994	311
684.39008	320
684.90015	296
685.41022	312
685.92023	309
686.43024	313
686.94025	308
687.4502	327
687.96014	315
688.47003	329
688.97992	307
689.48981	304
689.99963	318
690.50946	321
691.01923	305
691.52899	311
692.03876	312
692.54846	336
693.05817	325
693.56781	322
694.07745	308
694.58704	313
695.09662	293
695.6062	315
696.11572	313
696.62524	327
697.1347	309
697.64417	307
698.15363	308
698.66302	311
699.17242	307
699.68176	308
700.1911	303
700.70044	302
701.20972	315
701.71893	294
702.22815	323
702.73737	310
703.24652	329
703.75568	297
704.26483	319
704.77393	304
705.28302	311
705.79205	344
706.30103	296
706.81006	302
707.31903	316
707.82794	317
708.33685	309
708.84576	288
709.35461	315
709.86346	302
710.37225	315
710.88104	310
