Date and Time:                Thu Oct 30 08:43:31.639 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	271
478.84332	312
479.35983	347
479.87631	325
480.39282	325
480.9093	343
481.42575	341
481.94223	304
482.45868	330
482.97513	323
483.49158	319
484.00803	360
484.52444	401
485.04086	447
485.55728	498
486.07367	536
486.59006	572
487.10645	622
487.62283	687
488.13919	713
488.65555	729
489.17191	786
489.68826	851
490.20459	883
490.72092	934
491.23724	991
491.75354	1006
492.26984	1081
492.78613	1188
493.30243	1291
493.8187	1166
494.33496	1269
494.85123	1283
495.36746	1412
495.8837	1515
496.39993	1487
496.91617	1606
497.43237	1591
497.94858	1788
498.46478	1890
498.98096	1954
499.49713	2065
500.01331	2193
500.52945	2263
501.04562	2346
501.56174	2579
502.07788	2635
502.59399	2938
503.11011	3334
503.62622	3571
504.1423	3913
504.65839	4340
505.17447	4905
505.69052	5399
506.20657	5956
506.72263	6655
507.23865	7423
507.75467	8255
508.27069	9277
508.78668	10097
509.30267	11111
509.81866	12033
510.33463	13269
510.85059	14066
511.36655	15135
511.88248	15838
512.39844	17075
512.91437	17440
513.43024	18149
513.94617	18588
514.46204	19008
514.97791	19968
515.49377	19831
516.00964	20059
516.52551	19995
517.04132	19496
517.55719	19544
518.073	19447
518.58881	19026
519.10461	18765
519.62036	18422
520.13617	17620
520.65192	17193
521.16766	16426
521.68341	15664
522.1991	14989
522.71484	14333
523.23053	13308
523.74622	12619
524.2619	11251
524.77759	10421
525.29327	9343
525.8089	8608
526.32452	7493
526.84015	6450
527.35577	5848
527.8714	5144
528.38696	4443
528.90259	4016
529.41815	3524
529.93372	3221
530.44922	2946
530.96478	2782
531.48029	2586
531.99579	2430
532.51129	2320
533.02679	2435
533.5423	2238
534.05774	2248
534.57318	2304
535.08862	2195
535.60406	2176
536.11945	2074
536.63489	2069
537.15027	2105
537.66565	2080
538.18097	1965
538.69635	1942
539.21167	1926
539.72699	1815
540.24231	1910
540.75763	1756
541.27289	1787
541.78821	1691
542.30347	1714
542.81873	1684
543.33392	1598
543.84918	1584
544.36438	1534
544.87958	1554
545.39478	1543
545.90991	1503
546.42511	1488
546.94025	1418
547.45538	1486
547.97052	1433
548.4856	1349
549.00073	1369
549.51581	1384
550.03088	1366
550.5459	1369
551.06097	1323
551.57599	1263
552.091	1316
552.60602	1258
553.12097	1185
553.63593	1257
554.15094	1243
554.66583	1227
555.18079	1209
555.69568	1266
556.21063	1227
556.72552	1211
557.24036	1234
557.75525	1197
558.27008	1250
558.78491	1163
559.29974	1130
559.81458	1150
560.32935	1172
560.84412	1094
561.35889	1176
561.87366	1136
562.38837	1166
562.90308	1075
563.41779	1091
563.9325	1122
564.44714	1144
564.96179	1055
565.47644	1138
565.99109	1059
566.50574	1052
567.02032	1046
567.53491	1036
568.0495	1065
568.56403	1003
569.07861	1041
569.59314	1042
570.1076	992
570.62213	996
571.1366	947
571.65106	1011
572.16553	953
572.67999	953
573.1944	986
573.7088	934
574.22321	1002
574.73755	966
575.25195	937
575.7663	955
576.28058	920
576.79492	974
577.3092	936
577.82349	918
578.33777	954
578.85205	830
579.36627	834
579.88049	883
580.39471	918
580.90887	850
581.42303	899
581.93719	846
582.45135	821
582.96545	834
583.47955	842
583.99365	861
584.50775	797
585.02179	830
585.53583	823
586.04987	783
586.5639	818
587.07788	848
587.59186	788
588.10583	807
588.61975	772
589.13373	802
589.64758	751
590.1615	742
590.67542	771
591.18927	825
591.70306	765
592.21692	748
592.73071	733
593.24451	739
593.7583	693
594.27209	738
594.78583	766
595.29956	726
595.81323	754
