Date and Time:                Thu Oct 30 09:24:32.932 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	318
478.84332	361
479.35983	355
479.87631	372
480.39282	378
480.9093	394
481.42575	375
481.94223	365
482.45868	340
482.97513	379
483.49158	350
484.00803	390
484.52444	375
485.04086	395
485.55728	388
486.07367	400
486.59006	402
487.10645	417
487.62283	425
488.13919	439
488.65555	472
489.17191	474
489.68826	471
490.20459	510
490.72092	470
491.23724	506
491.75354	493
492.26984	518
492.78613	528
493.30243	508
493.8187	531
494.33496	556
494.85123	528
495.36746	564
495.8837	602
496.39993	581
496.91617	576
497.43237	614
497.94858	615
498.46478	621
498.98096	660
499.49713	609
500.01331	609
500.52945	658
501.04562	646
501.56174	633
502.07788	583
502.59399	592
503.11011	590
503.62622	629
504.1423	659
504.65839	609
505.17447	638
505.69052	629
506.20657	597
506.72263	617
507.23865	620
507.75467	600
508.27069	618
508.78668	626
509.30267	621
509.81866	647
510.33463	600
510.85059	595
511.36655	667
511.88248	608
512.39844	656
512.91437	613
513.43024	599
513.94617	653
514.46204	632
514.97791	632
515.49377	610
516.00964	629
516.52551	625
517.04132	597
517.55719	631
518.073	622
518.58881	609
519.10461	600
519.62036	592
520.13617	621
520.65192	617
521.16766	578
521.68341	637
522.1991	586
522.71484	607
523.23053	594
523.74622	575
524.2619	574
524.77759	582
525.29327	607
525.8089	620
526.32452	595
526.84015	632
527.35577	598
527.8714	604
528.38696	563
528.90259	585
529.41815	597
529.93372	607
530.44922	606
530.96478	599
531.48029	579
531.99579	588
532.51129	604
533.02679	589
533.5423	595
534.05774	595
534.57318	578
535.08862	601
535.60406	577
536.11945	570
536.63489	545
537.15027	582
537.66565	545
538.18097	595
538.69635	504
539.21167	579
539.72699	562
540.24231	568
540.75763	586
541.27289	550
541.78821	562
542.30347	592
542.81873	529
543.33392	578
543.84918	560
544.36438	551
544.87958	531
545.39478	573
545.90991	579
546.42511	574
546.94025	545
547.45538	516
547.97052	578
548.4856	538
549.00073	508
549.51581	526
550.03088	558
550.5459	519
551.06097	556
551.57599	541
552.091	532
552.60602	549
553.12097	509
553.63593	552
554.15094	529
554.66583	554
555.18079	572
555.69568	566
556.21063	524
556.72552	546
557.24036	554
557.75525	553
558.27008	582
558.78491	558
559.29974	579
559.81458	536
560.32935	563
560.84412	553
561.35889	579
561.87366	572
562.38837	593
562.90308	563
563.41779	555
563.9325	573
564.44714	570
564.96179	575
565.47644	586
565.99109	591
566.50574	618
567.02032	602
567.53491	595
568.0495	615
568.56403	600
569.07861	572
569.59314	620
570.1076	599
570.62213	630
571.1366	581
571.65106	599
572.16553	627
572.67999	652
573.1944	596
573.7088	631
574.22321	645
574.73755	620
575.25195	643
575.7663	654
576.28058	649
576.79492	642
577.3092	610
577.82349	662
578.33777	685
578.85205	656
579.36627	618
579.88049	657
580.39471	675
580.90887	650
581.42303	697
581.93719	681
582.45135	713
582.96545	713
583.47955	691
583.99365	687
584.50775	687
585.02179	716
585.53583	665
586.04987	698
586.5639	708
587.07788	714
587.59186	683
588.10583	707
588.61975	708
589.13373	747
589.64758	721
590.1615	736
590.67542	737
591.18927	767
591.70306	732
592.21692	765
592.73071	731
593.24451	757
593.7583	718
594.27209	713
594.78583	728
595.29956	724
595.81323	770
596.32697	730
596.84064	776
597.35425	725
597.86792	789
598.38153	770
598.89514	719
599.40875	748
599.9223	735
600.43585	773
600.9494	768
601.46289	778
601.97638	746
602.48987	793
603.00336	740
603.51678	761
604.03021	763
604.54364	778
605.05701	750
605.57043	739
606.08374	810
606.59711	754
607.11041	751
