Date and Time:                Sun Nov 2 14:23:38.889 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	296
478.84332	321
479.35983	324
479.87631	348
480.39282	325
480.9093	324
481.42575	325
481.94223	325
482.45868	323
482.97513	337
483.49158	306
484.00803	327
484.52444	325
485.04086	343
485.55728	338
486.07367	335
486.59006	320
487.10645	323
487.62283	326
488.13919	333
488.65555	338
489.17191	339
489.68826	346
490.20459	348
490.72092	325
491.23724	341
491.75354	342
492.26984	346
492.78613	343
493.30243	361
493.8187	347
494.33496	351
494.85123	363
495.36746	336
495.8837	367
496.39993	360
496.91617	367
497.43237	352
497.94858	360
498.46478	344
498.98096	358
499.49713	383
500.01331	350
500.52945	361
501.04562	333
501.56174	350
502.07788	380
502.59399	355
503.11011	374
503.62622	348
504.1423	361
504.65839	356
505.17447	353
505.69052	341
506.20657	354
506.72263	340
507.23865	387
507.75467	355
508.27069	373
508.78668	350
509.30267	351
509.81866	350
510.33463	342
510.85059	337
511.36655	358
511.88248	345
512.39844	305
512.91437	354
513.43024	348
513.94617	345
514.46204	343
514.97791	373
515.49377	359
516.00964	354
516.52551	383
517.04132	346
517.55719	346
518.073	366
518.58881	354
519.10461	354
519.62036	354
520.13617	359
520.65192	359
521.16766	349
521.68341	331
522.1991	357
522.71484	349
523.23053	352
523.74622	359
524.2619	356
524.77759	357
525.29327	365
525.8089	358
526.32452	351
526.84015	345
527.35577	354
527.8714	367
528.38696	372
528.90259	359
529.41815	333
529.93372	356
530.44922	363
530.96478	339
531.48029	352
531.99579	351
532.51129	350
533.02679	376
533.5423	350
534.05774	345
534.57318	335
535.08862	349
535.60406	346
536.11945	337
536.63489	348
537.15027	340
537.66565	339
538.18097	358
538.69635	364
539.21167	355
539.72699	366
540.24231	348
540.75763	346
541.27289	359
541.78821	329
542.30347	362
542.81873	341
543.33392	380
543.84918	338
544.36438	346
544.87958	339
545.39478	329
545.90991	348
546.42511	353
546.94025	349
547.45538	360
547.97052	332
548.4856	351
549.00073	362
549.51581	355
550.03088	352
550.5459	352
551.06097	342
551.57599	346
552.091	359
552.60602	344
553.12097	349
553.63593	346
554.15094	345
554.66583	359
555.18079	348
555.69568	335
556.21063	386
556.72552	348
557.24036	340
557.75525	345
558.27008	344
558.78491	329
559.29974	327
559.81458	331
560.32935	340
560.84412	336
561.35889	352
561.87366	339
562.38837	366
562.90308	334
563.41779	345
563.9325	356
564.44714	341
564.96179	361
565.47644	334
565.99109	334
566.50574	318
567.02032	369
567.53491	337
568.0495	357
568.56403	349
569.07861	343
569.59314	328
570.1076	328
570.62213	348
571.1366	349
571.65106	328
572.16553	325
572.67999	333
573.1944	348
573.7088	345
574.22321	342
574.73755	327
575.25195	346
575.7663	328
576.28058	330
576.79492	357
577.3092	345
577.82349	326
578.33777	334
578.85205	328
579.36627	329
579.88049	334
580.39471	338
580.90887	319
581.42303	332
581.93719	346
582.45135	313
582.96545	322
583.47955	312
583.99365	339
584.50775	334
585.02179	354
585.53583	328
586.04987	328
586.5639	325
587.07788	300
587.59186	326
588.10583	338
588.61975	312
589.13373	334
589.64758	336
590.1615	338
590.67542	342
591.18927	332
591.70306	328
592.21692	340
592.73071	329
593.24451	335
593.7583	325
594.27209	341
594.78583	348
595.29956	329
595.81323	336
596.32697	324
596.84064	336
597.35425	313
597.86792	318
598.38153	334
598.89514	307
599.40875	356
599.9223	312
600.43585	343
600.9494	341
601.46289	317
601.97638	335
602.48987	331
603.00336	341
603.51678	333
604.03021	306
604.54364	365
605.05701	337
605.57043	320
606.08374	345
606.59711	329
607.11041	335
