Date and Time:                Sun Nov 2 14:17:43.175 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	248
478.84332	329
479.35983	301
479.87631	311
480.39282	302
480.9093	299
481.42575	300
481.94223	330
482.45868	304
482.97513	313
483.49158	304
484.00803	330
484.52444	307
485.04086	311
485.55728	311
486.07367	317
486.59006	315
487.10645	319
487.62283	317
488.13919	299
488.65555	319
489.17191	330
489.68826	317
490.20459	301
490.72092	309
491.23724	320
491.75354	319
492.26984	310
492.78613	297
493.30243	337
493.8187	338
494.33496	327
494.85123	316
495.36746	330
495.8837	303
496.39993	311
496.91617	321
497.43237	314
497.94858	303
498.46478	327
498.98096	308
499.49713	325
500.01331	298
500.52945	303
501.04562	337
501.56174	297
502.07788	329
502.59399	320
503.11011	331
503.62622	329
504.1423	311
504.65839	309
505.17447	317
505.69052	326
506.20657	319
506.72263	317
507.23865	323
507.75467	300
508.27069	321
508.78668	319
509.30267	317
509.81866	321
510.33463	319
510.85059	308
511.36655	331
511.88248	307
512.39844	328
512.91437	306
513.43024	308
513.94617	311
514.46204	311
514.97791	314
515.49377	304
516.00964	305
516.52551	309
517.04132	325
517.55719	299
518.073	323
518.58881	299
519.10461	317
519.62036	312
520.13617	325
520.65192	304
521.16766	320
521.68341	308
522.1991	325
522.71484	343
523.23053	307
523.74622	297
524.2619	314
524.77759	306
525.29327	325
525.8089	312
526.32452	306
526.84015	300
527.35577	312
527.8714	332
528.38696	297
528.90259	298
529.41815	320
529.93372	298
530.44922	311
530.96478	301
531.48029	307
531.99579	332
532.51129	306
533.02679	323
533.5423	329
534.05774	307
534.57318	321
535.08862	308
535.60406	301
536.11945	307
536.63489	296
537.15027	293
537.66565	338
538.18097	326
538.69635	298
539.21167	291
539.72699	302
540.24231	303
540.75763	321
541.27289	313
541.78821	297
542.30347	329
542.81873	330
543.33392	307
543.84918	341
544.36438	314
544.87958	304
545.39478	314
545.90991	310
546.42511	302
546.94025	935
547.45538	5895
547.97052	5345
548.4856	5174
549.00073	727
549.51581	304
550.03088	284
550.5459	330
551.06097	324
551.57599	301
552.091	315
552.60602	316
553.12097	330
553.63593	323
554.15094	329
554.66583	323
555.18079	310
555.69568	318
556.21063	297
556.72552	324
557.24036	332
557.75525	318
558.27008	303
558.78491	327
559.29974	331
559.81458	300
560.32935	308
560.84412	321
561.35889	340
561.87366	322
562.38837	317
562.90308	295
563.41779	325
563.9325	315
564.44714	318
564.96179	300
565.47644	313
565.99109	302
566.50574	304
567.02032	300
567.53491	327
568.0495	304
568.56403	299
569.07861	310
569.59314	317
570.1076	311
570.62213	309
571.1366	308
571.65106	324
572.16553	304
572.67999	333
573.1944	309
573.7088	320
574.22321	319
574.73755	310
575.25195	322
575.7663	316
576.28058	328
576.79492	309
577.3092	303
577.82349	320
578.33777	311
578.85205	323
579.36627	306
579.88049	313
580.39471	326
580.90887	334
581.42303	329
581.93719	311
582.45135	311
582.96545	299
583.47955	313
583.99365	316
584.50775	308
585.02179	332
585.53583	313
586.04987	305
586.5639	334
587.07788	307
587.59186	311
588.10583	319
588.61975	297
589.13373	298
589.64758	319
590.1615	300
590.67542	314
591.18927	300
591.70306	326
592.21692	319
592.73071	306
593.24451	327
593.7583	328
594.27209	315
594.78583	322
595.29956	309
595.81323	321
596.32697	299
596.84064	332
597.35425	307
597.86792	299
598.38153	317
598.89514	297
599.40875	323
599.9223	322
600.43585	291
600.9494	314
601.46289	294
601.97638	301
602.48987	317
603.00336	292
603.51678	307
604.03021	325
604.54364	313
605.05701	305
605.57043	306
606.08374	303
606.59711	328
607.11041	314
