Date and Time:                Sun Nov 2 14:31:37.364 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.5
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	285
478.84332	304
479.35983	327
479.87631	328
480.39282	338
480.9093	310
481.42575	327
481.94223	317
482.45868	299
482.97513	324
483.49158	347
484.00803	356
484.52444	422
485.04086	437
485.55728	501
486.07367	526
486.59006	558
487.10645	667
487.62283	642
488.13919	684
488.65555	763
489.17191	836
489.68826	889
490.20459	918
490.72092	956
491.23724	1019
491.75354	1075
492.26984	1086
492.78613	1183
493.30243	1273
493.8187	1319
494.33496	1402
494.85123	1423
495.36746	1565
495.8837	1579
496.39993	1602
496.91617	1684
497.43237	1795
497.94858	1810
498.46478	1909
498.98096	2072
499.49713	2164
500.01331	2147
500.52945	2281
501.04562	2452
501.56174	2602
502.07788	2795
502.59399	3151
503.11011	3403
503.62622	3654
504.1423	4058
504.65839	4450
505.17447	4919
505.69052	5306
506.20657	6047
506.72263	6757
507.23865	7454
507.75467	8266
508.27069	9160
508.78668	10261
509.30267	11256
509.81866	12180
510.33463	13245
510.85059	14521
511.36655	15305
511.88248	16296
512.39844	17228
512.91437	18133
513.43024	18293
513.94617	19005
514.46204	19877
514.97791	20147
515.49377	20060
516.00964	20275
516.52551	20482
517.04132	20252
517.55719	19887
518.073	19591
518.58881	19324
519.10461	19199
519.62036	18889
520.13617	17950
520.65192	17530
521.16766	16859
521.68341	15929
522.1991	15318
522.71484	14361
523.23053	13754
523.74622	12471
524.2619	11821
524.77759	10687
525.29327	9813
525.8089	8517
526.32452	7825
526.84015	6956
527.35577	6193
527.8714	5389
528.38696	4891
528.90259	4201
529.41815	3844
529.93372	3312
530.44922	3006
530.96478	2791
531.48029	2651
531.99579	2612
532.51129	2450
533.02679	2454
533.5423	2412
534.05774	2349
534.57318	2200
535.08862	2323
535.60406	2291
536.11945	2231
536.63489	2283
537.15027	2203
537.66565	2070
538.18097	2037
538.69635	2017
539.21167	1954
539.72699	1893
540.24231	1894
540.75763	1922
541.27289	1847
541.78821	1832
542.30347	1792
542.81873	1761
543.33392	1674
543.84918	1760
544.36438	1603
544.87958	1576
545.39478	1659
545.90991	1565
546.42511	1491
546.94025	1530
547.45538	1465
547.97052	1497
548.4856	1495
549.00073	1469
549.51581	1461
550.03088	1429
550.5459	1316
551.06097	1432
551.57599	1285
552.091	1336
552.60602	1354
553.12097	1344
553.63593	1293
554.15094	1324
554.66583	1339
555.18079	1240
555.69568	1264
556.21063	1251
556.72552	1218
557.24036	1225
557.75525	1282
558.27008	1238
558.78491	1211
559.29974	1191
559.81458	1171
560.32935	1221
560.84412	1116
561.35889	1235
561.87366	1154
562.38837	1129
562.90308	1116
563.41779	1108
563.9325	1165
564.44714	1183
564.96179	1072
565.47644	1138
565.99109	1184
566.50574	1059
567.02032	1105
567.53491	1101
568.0495	1090
568.56403	1092
569.07861	1080
569.59314	1137
570.1076	1008
570.62213	1016
571.1366	1091
571.65106	1096
572.16553	984
572.67999	1010
573.1944	1034
573.7088	985
574.22321	999
574.73755	1027
575.25195	989
575.7663	1015
576.28058	1005
576.79492	1015
577.3092	965
577.82349	952
578.33777	863
578.85205	901
579.36627	878
579.88049	958
580.39471	874
580.90887	880
581.42303	916
581.93719	915
582.45135	901
582.96545	876
583.47955	856
583.99365	846
584.50775	832
585.02179	836
585.53583	806
586.04987	876
586.5639	849
587.07788	840
587.59186	833
588.10583	815
588.61975	823
589.13373	772
589.64758	834
590.1615	812
590.67542	791
591.18927	720
591.70306	759
592.21692	769
592.73071	756
593.24451	782
593.7583	790
594.27209	724
594.78583	769
595.29956	715
