Date and Time:                Sun Nov 2 15:06:56.944 2025
Software Version:             4.30.30000.0
Temperature (C):              -90
Model:                        DU971P_UVB
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         30
Readout Mode:                 Full Vertical Binning
Horizontal binning:           2
Extended Dynamic Range:       off
Horizontally flipped:         false
Vertical Shift Speed (usecs): 9.68
Pixel Readout Rate (MHz):     3
Baseline Clamp:               ON
Clock Amplitude:              Normal
Output Amplifier:             Conventional
Serial Number:                20367
Pre-Amplifier Gain:           4x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
SR193i:
Serial Number:                SR-2646
Wavelength (nm):              690
Grating Groove Density (l/mm):300
Grating Blaze:                500nm
Input Side Slit Width (um):   1000



478.32681	320
478.84332	372
479.35983	362
479.87631	377
480.39282	364
480.9093	359
481.42575	362
481.94223	353
482.45868	356
482.97513	370
483.49158	368
484.00803	376
484.52444	396
485.04086	396
485.55728	436
486.07367	426
486.59006	488
487.10645	482
487.62283	462
488.13919	486
488.65555	537
489.17191	543
489.68826	589
490.20459	610
490.72092	606
491.23724	612
491.75354	672
492.26984	628
492.78613	681
493.30243	724
493.8187	745
494.33496	734
494.85123	806
495.36746	767
495.8837	810
496.39993	859
496.91617	860
497.43237	850
497.94858	907
498.46478	926
498.98096	900
499.49713	979
500.01331	958
500.52945	1009
501.04562	1015
501.56174	989
502.07788	986
502.59399	992
503.11011	991
503.62622	995
504.1423	1022
504.65839	986
505.17447	973
505.69052	984
506.20657	979
506.72263	1001
507.23865	976
507.75467	975
508.27069	1044
508.78668	1015
509.30267	1038
509.81866	1024
510.33463	988
510.85059	1040
511.36655	990
511.88248	1040
512.39844	1010
512.91437	1072
513.43024	1014
513.94617	1037
514.46204	1028
514.97791	1001
515.49377	972
516.00964	1053
516.52551	1015
517.04132	1097
517.55719	1158
518.073	1037
518.58881	1012
519.10461	1017
519.62036	1036
520.13617	998
520.65192	989
521.16766	1014
521.68341	997
522.1991	1012
522.71484	1000
523.23053	1078
523.74622	959
524.2619	1015
524.77759	951
525.29327	979
525.8089	1073
526.32452	984
526.84015	975
527.35577	952
527.8714	1003
528.38696	1003
528.90259	1028
529.41815	946
529.93372	930
530.44922	1004
530.96478	941
531.48029	947
531.99579	959
532.51129	918
533.02679	933
533.5423	931
534.05774	946
534.57318	897
535.08862	927
535.60406	879
536.11945	879
536.63489	954
537.15027	888
537.66565	938
538.18097	925
538.69635	1002
539.21167	956
539.72699	966
540.24231	847
540.75763	870
541.27289	883
541.78821	848
542.30347	922
542.81873	909
543.33392	872
543.84918	917
544.36438	814
544.87958	868
545.39478	837
545.90991	878
546.42511	863
546.94025	885
547.45538	866
547.97052	968
548.4856	4208
549.00073	857
549.51581	1183
550.03088	5955
550.5459	820
551.06097	829
551.57599	839
552.091	910
552.60602	874
553.12097	869
553.63593	916
554.15094	903
554.66583	858
555.18079	864
555.69568	918
556.21063	883
556.72552	906
557.24036	887
557.75525	877
558.27008	905
558.78491	898
559.29974	894
559.81458	868
560.32935	872
560.84412	876
561.35889	875
561.87366	966
562.38837	872
562.90308	913
563.41779	899
563.9325	872
564.44714	919
564.96179	881
565.47644	901
565.99109	920
566.50574	917
567.02032	933
567.53491	916
568.0495	932
568.56403	954
569.07861	927
569.59314	1019
570.1076	879
570.62213	967
571.1366	968
571.65106	969
572.16553	978
572.67999	1020
573.1944	1040
573.7088	1038
574.22321	1018
574.73755	1032
575.25195	1088
575.7663	1031
576.28058	1038
576.79492	1019
577.3092	1083
577.82349	1042
578.33777	1054
578.85205	1054
579.36627	1106
579.88049	1030
580.39471	1076
580.90887	1088
581.42303	1110
581.93719	1110
582.45135	1134
582.96545	1179
583.47955	1141
583.99365	1219
584.50775	1162
585.02179	1245
585.53583	1201
586.04987	1237
586.5639	1161
587.07788	1255
587.59186	1236
588.10583	1222
588.61975	1215
589.13373	1282
589.64758	1276
590.1615	1275
590.67542	1348
591.18927	1269
591.70306	1324
592.21692	1355
592.73071	1316
593.24451	1346
593.7583	1309
594.27209	1380
594.78583	1375
595.29956	1346
595.81323	1395
596.32697	1385
596.84064	1412
597.35425	1456
597.86792	1444
598.38153	1471
598.89514	1366
599.40875	1409
599.9223	1399
600.43585	1450
